COWCODE,STATE,REG_START,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_PARTY,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_REEXIT,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_RETENURE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_REPOSITION,ELITE_OCCUPATION,EC_GR_2Y
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Naumann, Werner",NSDAP,16/6/1909,25/10/1982,0,30/4/1945,2/5/1945,35.89589041,35.90136986,0.005479452055,Demotion,No Punishment,Donitz,Propagands (4/30/45-5/2/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Neurath, Constantin Freiherr von",NSDAP,2/2/1873,14/8/1956,0,30/1/1933,4/2/1938,60.03013699,65.04657534,5.016438356,Demotion,No Punishment,Hitler,Foreign Affairs (1/30/33-2/4/38),Diplomat,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Ohnesorge, Wilhelm",NSDAP,6/8/1872,1/2/1962,0,2/2/1937,30/4/1945,64.69589041,72.93972603,8.243835616,Demotion,No Punishment,Goebbels,Postal Affairs (2/2/37-4/30/45),Postal official,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Papen, Franz von",Independent,10/29/1879,2/5/1969,0,30/1/1933,7/8/1934,53.29041096,54.80821918,1.517808219,Resignation,No Punishment,Hitler,Vice-Chancellor (1/30/33-8/7/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Ribbentrop, Joachim von",NSDAP,4/30/1893,16/10/1946,0,4/2/1938,30/4/1945,44.79452055,52.03287671,7.238356164,Demotion,No Punishment,Goebbels,Foreign Affairs (2/4/38-4/30/45),Businessperson,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Röhm, Ernst",NSDAP,11/28/1887,1/7/1934,0,1/12/1933,1/7/1934,46.03835616,46.61917808,0.5808219178,Expulsion,Execution,Hitler,w/o Portfolio (12/1/33-7/1/34),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Rosenberg, Alfred",NSDAP,1/12/1893,16/10/1946,0,17/11/1941,30/4/1945,48.87671233,52.32876712,3.452054795,Demotion,No Punishment,Goebbels,Occupied Eastern Territories (11/17/41-4/30/45),Newspaper editor,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Rust, Bernhard",NSDAP,9/30/1883,8/5/1945,0,1/5/1934,8/5/1945,50.61643836,61.64383562,11.02739726,Death - suicide,,Donitz,"Science, Education, and Culture (5/1/34-4/30/45)",Teacher,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Saur, Karl",NSDAP,16/2/1902,28/7/1966,0,30/4/1945,23/5/1945,43.23013699,43.29315068,0.06301369863,Regime Change,,,Armament (4/30/45-5/23/45),Businessperson,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Schacht, Hjalmar",Independent,1/22/1877,3/6/1970,0,3/8/1934,22/1/1943,57.56438356,66.04109589,8.476712329,Expulsion,Incarceration,Hitler,Economics (8/3/34-11/26/37); w/o Portfolio (11/26/37-1/22/43),Banker,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Scheel, Gustav Adolf",NSDAP,22/11/1907,25/3/1979,0,30/4/1945,2/5/1945,37.4630137,37.46849315,0.005479452055,Demotion,No Punishment,Donitz,Culture (4/30/45-5/2/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Schlegelberger, Franz",NSDAP,10/23/1876,14/12/1970,0,29/1/1941,24/8/1942,64.30958904,65.87671233,1.567123288,Resignation,No Punishment,Hitler,Justice (1/29/41-8/24/42),Judge,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Schmitt, Kurt",NSDAP,10/7/1886,2/11/1950,0,29/6/1933,3/8/1934,46.75616438,47.85205479,1.095890411,Demotion,No Punishment,Hitler,Economics (6/29/33-8/3/34),Insurance economist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Schörner, Ferdinand",NSDAP,6/12/1892,8/7/1945,0,30/4/1945,8/5/1945,52.91506849,52.9369863,0.02191780822,Demotion,No Punishment,Donitz,Supreme Commander of the Army (4/30/45-5/8/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Schwerin von Krosigk, Lutz Graf",NSDAP,8/22/1887,4/3/1977,0,1/6/1932,23/5/1945,44.80547945,57.7890411,12.98356164,Regime Change,,,Finance (1/30/33-5/23/45); Prime Minister (5/2/45-5/23/45); Foreign Affairs (5/2/45-5/23/45),Civil servant,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Seldte, Franz",NSDAP,6/29/1882,1/4/1947,0,30/1/1933,30/4/1945,50.62191781,62.87671233,12.63559322,Demotion,No Punishment,Hitler,Labour (1/30/33-4/30/45),Businessperson,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Seldte, Franz",NSDAP,6/29/1882,1/4/1947,0,2/5/1945,23/5/1945,62.88219178,62.93972603,0.0593220339,Regime Change,,,Labour (5/2/45-5/23/45),Businessperson,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Seyss-Inquart, Arthur",NSDAP,7/22/1892,16/10/1946,0,1/5/1939,2/5/1945,46.80273973,52.8109589,6.008219178,Demotion,No Punishment,Donitz,w/o Portfolio (5/1/39-4/30/45); Foreign Affairs (4/30/45-5/2/45),Jurist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Speer, Albert",NSDAP,19/3/1905,1/9/1981,0,8/2/1942,23/5/1945,36.91780822,40.20547945,3.287671233,Regime Change,,,Armaments and Ammunition (2/8/42-4/30/45); Industry and Production (5/2/45-5/23/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Stuckart, Wilhelm",NSDAP,16/11/1902,15/11/1953,0,2/5/1945,23/5/1945,42.48767123,42.54520548,0.05753424658,Regime Change,,,Interior (5/2/45-5/23/45),Jurist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Thierack, Otto Georg",NSDAP,4/19/1889,26/10/1946,0,24/8/1942,23/5/1945,53.38082192,56.12876712,2.747945205,Regime Change,,,Justice (8/34/42-5/23/45),Public prosecutor,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Todt, Fritz",NSDAP,9/4/1891,8/2/1942,0,17/3/1940,8/2/1942,48.56438356,50.4630137,1.898630137,Death - accidental,,Hitler,Armaments and Ammunition (3/17/40-2/8/42),Civil engineer,-13.36
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Chen Boda,,29/7/1904,20/9/1989,0,12/8/1966,16/11/1970,62.07945205,25/12/1899,30/12/1899,Expulsion,No Punishment,Mao,,Teacher,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Chen Yun,,13/6/1905,10/4/1995,0,22/1/1949,28/4/1969,43.64109589,24/12/1899,30/12/1899,Demotion,No Punishment,Mao,,Union organizer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Chen Yun,,13/6/1905,10/4/1995,0,22/12/1978,2/11/1987,73.57534247,24/12/1899,30/12/1899,Resignation,No Punishment,Deng,,Union organizer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,,22/8/1904,19/2/1997,0,28/9/1956,31/10/1968,52.1369863,25/12/1899,30/12/1899,Expulsion,No Punishment,Mao,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,,22/8/1904,19/2/1997,0,10/1/1975,7/4/1976,70.43287671,25/12/1899,30/12/1899,Demotion,No Punishment,Mao,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,,22/8/1904,19/2/1997,0,21/7/1977,2/11/1987,72.96164384,25/12/1899,30/12/1899,Resignation,No Punishment,,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Dong Biwu,,3/5/1886,2/4/1975,0,22/1/1949,2/4/1975,62.9260274,89.13424658,-0.2442034153,Death,,Mao,,Lawyer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Han Zheng,,4/?/1954,,0,25/10/2017,,,,,,,,,Warehouse worker,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,He Guoqiang,,1/10/1943,,0,22/11/2007,15/11/2012,64.18630137,16/11/1899,30/12/1899,Resignation,No Punishment,Xi,,Chemical engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Hu Jintao,,21/12/1942,,0,19/10/1992,15/11/2012,49.8630137,16/11/1899,30/12/1899,Resignation,No Punishment,Xi,,Hydroelectric engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Hu Qili,,10/?/1929,,0,2/11/1987,23/6/1989,,,0,Expulsion,No Punishment,Jiang,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Hu Yaobang,,20/11/1915,15/4/1989,0,29/2/1980,2/11/1987,64.32054795,14/12/1899,30/12/1899,Demotion,No Punishment,Deng,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Hua Guofeng,,16/2/1921,20/8/2008,0,18/8/1977,12/9/1982,56.53972603,8/12/1899,30/12/1899,Demotion,No Punishment,Deng,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Huang Ju,,28/9/1938,2/6/2007,0,15/11/2002,2/6/2007,64.17534247,21/11/1899,30/12/1899,Death,,Hu,,Electrical engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Jia Qinglin,,3/?/1940,,0,15/11/2002,15/11/2012,,,0,Resignation,No Punishment,Xi,,Mechanical engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Jiang Zemin,,17/8/1926,,0,24/6/1989,15/11/2002,62.89589041,3/12/1899,30/12/1899,Resignation,No Punishment,,,Automotive engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Kang Sheng,,?/?/1898,16/12/1975,0,12/8/1966,16/12/1975,,,0,Death,,Mao,,Labor organizer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Changchun,,2/?/1944,,0,15/11/2002,15/11/2012,,,0,Resignation,No Punishment,Xi,,Electrical engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Desheng,,4/5/1916,8/5/2011,0,30/8/1973,8/1/1975,57.36164384,13/12/1899,30/12/1899,Resignation,No Punishment,Mao,,Soldier,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Fuchun,,22/5/1900,9/1/1975,0,12/8/1966,28/4/1969,66.26849315,29/12/1899,30/12/1899,Demotion,No Punishment,Mao,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Keqiang,,1/7/1955,,0,22/11/2007,,52.43013699,,,,,,,Academic,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Lanqing,,22/5/1932,,0,19/9/1997,15/11/2002,65.37260274,27/11/1899,30/12/1899,Resignation,No Punishment,Hu,,Automotive factory worker,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Peng,,20/10/1928,,0,2/11/1987,15/11/2002,59.0739726,1/12/1899,30/12/1899,Resignation,No Punishment,Hu,,Hydroelectric engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Ruihuan,,17/9/1934,,0,24/6/1989,15/11/2002,54.80547945,25/11/1899,30/12/1899,Resignation,No Punishment,Hu,,Carpenter,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Xiannian,,23/6/1909,21/6/1992,0,8/8/1977,2/11/1987,68.17260274,20/12/1899,30/12/1899,Resignation,No Punishment,Deng,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Li Zhanshu,,30/8/1950,,0,25/10/2017,,67.2,,,,,,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Lin Biao,,5/12/1907,13/9/1971,0,4/4/1955,13/9/1971,47.36164384,22/12/1899,30/12/1899,Death,,Mao,,Soldier,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Liu Huaqing,,1/10/1916,14/1/2011,0,19/10/1992,19/9/1997,76.10136986,13/12/1899,30/12/1899,Resignation,No Punishment,Jiang,,Naval officer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Liu Shaoqi,,11/24/1898,12/11/1969,0,22/1/1949,31/10/1968,50.19452055,69.98082192,-0.1917282792,Expulsion,Incarceration,Mao,,Labor organizer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Liu Yunshan,,7/?/1947,,0,15/11/2012,25/10/2017,,,0,Resignation,No Punishment,Xi,,Journalist,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Luo Gan,,18/7/1935,,0,15/11/2002,22/11/2007,67.37534247,24/11/1899,30/12/1899,Resignation,No Punishment,Hu,,Metallurgical engineer,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Mao Zedong,,12/26/1893,9/9/1976,0,22/1/1949,9/9/1976,55.10958904,82.75890411,-0.2267367236,Death,,,,Teacher,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Qiao Shi,,24/12/1924,14/6/2015,0,2/11/1987,9/9/1997,62.89863014,5/12/1899,30/12/1899,Resignation,No Punishment,Jiang,,Iron and steel worker,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Ren Bishi,,30/4/1904,27/10/1950,0,22/1/1949,27/10/1950,44.76164384,25/12/1899,30/12/1899,Death,,Mao,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Song Ping,,24/4/1917,,0,24/6/1989,19/10/1992,72.21643836,12/12/1899,30/12/1899,Resignation,No Punishment,Jiang,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Tao Zhu,,16/1/1908,30/11/1969,0,8/12/1966,4/1/1967,58.93424658,21/12/1899,30/12/1899,Expulsion,Incarceration,Mao,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Xi Jinping,,15/6/1953,,0,22/11/2007,,54.4739726,,,,,,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wang Dongxing,,9/1/1916,21/8/2015,0,18/8/1977,29/2/1980,61.64931507,13/12/1899,30/12/1899,Demotion,No Punishment,Deng,,Soldier,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wang Hongwen,,12/?/1935,3/8/1992,0,30/8/1973,6/10/1976,,,0,Expulsion,Incarceration,Hua,,Party functionary,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wang Huning,,6/10/1955,,0,25/10/2017,,62.09589041,,,,,,,Professor of Law,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wang Qishan,,19/7/1948,,0,15/11/2012,25/10/2017,64.36986301,11/11/1899,30/12/1899,Resignation,No Punishment,Xi,,Historian,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wang Yang,,12/3/1955,,0,25/10/2017,,62.66575342,,,,,,,Factory worker,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wei Jianxing,,2/1/1931,7/8/2015,0,19/9/1997,15/11/2002,66.75890411,28/11/1899,30/12/1899,Resignation,No Punishment,Hu,,Industrial worker,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wen Jiabao,,15/9/1942,,0,15/11/2002,15/11/2012,60.20821918,17/11/1899,30/12/1899,Resignation,No Punishment,Xi,,Geologist,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wu Bangguo,,12/7/1941,,0,15/11/2002,15/11/2012,61.38630137,18/11/1899,30/12/1899,Resignation,No Punishment,Xi,,Factory technician,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Wu Guanzheng,,18/10/1938,,0,15/11/2002,22/11/2007,64.12054795,21/11/1899,30/12/1899,Resignation,No Punishment,Hu,,Factory technician,6.43
710,China,22/1/1949,,Communist Party of China (CPC),Politburo Standing Committee,Yao Yilin,,6/9/1917,11/12/1994,0,2/11/1987,19/10/1992,70.20273973,12/12/1899,30/12/1899,Resignation,No Punishment,Jiang,,Party functionary,6.43
